SP500,Gas,Nasdaq
2368.06,3.11,5914.34
2362.72,2.97,5911.74
2358.84,3,5894.68
2360.16,3,5898.61
2352.95,3.09,5864.48
2357.49,3.11,5878.95
2355.54,3.11,5877.81
2357.16,3.13,5880.93
2353.78,3.06,5866.77
2344.93,3.06,5836.16
2328.95,2.99,5805.15
.,3.06,.
2349.01,3.13,5856.79
2342.19,3.2,5849.47
2338.17,3.2,5863.03
2355.84,3.13,5916.78
2348.69,3.14,5910.52
2374.15,3.11,5983.82
2388.61,3.1,6025.49
2387.45,3.06,6025.23
2388.77,3.03,6048.94
2384.2,3.03,6047.61
2388.33,3.23,6091.6
2391.17,3.24,6095.37
2388.13,3.26,6072.55
2389.52,3.27,6075.34
2399.29,3.27,6100.76
2399.38,3.13,6102.66
2396.92,3.11,6120.59
2399.63,3.24,6129.14
2394.44,3.22,6115.96
2390.9,3.22,6121.23
2402.32,3.1,6149.67
2400.67,3.1,6169.87
2357.03,3.1,6011.24
2365.72,3.1,6055.13
2381.73,3.05,6083.7
2394.02,3.05,6133.62
2398.42,2.85,6138.71
2404.39,2.92,6163.02
2415.07,2.92,6205.26
2415.82,3.06,6210.19
.,2.98,.
2412.91,3.03,6203.19
2411.8,3.12,6198.52
2430.06,3.12,6246.83
2439.07,2.95,6305.8
2436.1,2.94,6295.68
2429.33,3.01,6275.06
2433.14,2.87,6297.38
2433.79,2.91,6321.76
2431.77,2.91,6207.92
2429.39,2.88,6175.46
2440.35,2.89,6220.37
2437.92,2.98,6194.89
2432.46,2.99,6165.5
2433.15,3.03,6151.76
2453.46,3.07,6239.01
2437.03,2.98,6188.03
2435.61,2.98,6233.95
2434.5,2.98,6236.69
2438.3,2.98,6265.25
2439.07,2.89,6247.15
2419.38,2.91,6146.62
2440.69,2.92,6234.41
2419.7,2.98,6144.35
2423.41,3.01,6140.42
2429.01,2.96,6110.06
.,2.94,.
2432.54,3.04,6150.86
2409.75,3.11,6089.46
2425.18,3.11,6153.08
2427.43,3.12,6176.39
2425.53,3.06,6193.3
2443.25,2.99,6261.17
2447.83,2.99,6274.44
2459.27,2.92,6312.47
2459.14,2.95,6314.43
2460.61,2.96,6344.31
2473.83,2.87,6385.04
2473.45,2.8,6390
2472.54,2.8,6387.75
2469.91,2.76,6410.81
2477.13,2.76,6412.17
2477.83,2.8,6422.75
2475.42,2.81,6382.19
2472.1,2.81,6374.68
2470.3,2.89,6348.12
2476.35,2.96,6362.94
2477.57,3.02,6362.65
2472.16,2.96,6340.34
2476.83,2.94,6351.56
2480.91,2.91,6383.77
2474.92,2.9,6370.46
2474.02,3,6352.33
2438.21,3,6216.87
2441.32,2.94,6256.56
2465.84,2.97,6340.23
2464.61,2.93,6333.01
2468.11,2.95,6345.11
2430.01,2.95,6221.91
2425.55,2.95,6216.53
2428.37,2.92,6213.13
2452.51,2.88,6297.48
2444.04,2.88,6278.41
2438.97,2.88,6271.33
2443.05,2.98,6265.64
2444.24,2.92,6283.02
2446.3,2.88,6301.89
2457.59,2.88,6368.31
2471.65,2.88,6428.66
2476.55,3.02,6435.33
.,3.03,.
2457.85,3,6375.57
2465.54,3.11,6393.31
2465.1,3.18,6397.87
2461.43,3.13,6360.19
2488.11,3.11,6432.26
2496.48,2.93,6454.28
2498.37,2.96,6460.19
2495.62,2.96,6429.08
2500.23,2.98,6448.47
2503.87,2.96,6454.64
2506.65,2.94,6461.32
2508.24,2.94,6456.04
2500.6,2.73,6422.69
2502.22,2.8,6426.92
2496.66,2.8,6370.59
2496.84,2.93,6380.16
2507.04,2.87,6453.26
2510.06,2.89,6453.45
2519.36,2.89,6495.96
2529.12,2.95,6516.72
2534.58,2.99,6531.71
2537.74,2.87,6534.63
